user_id,first_name,last_name,email,phone,street,city,state,postal_code,country,date_joined,is_active
1,Andrea,Bates,fosterjoseph@example.com,+1-481-329-9483x518,762 Dawn Prairie,Davidmouth,GU,48893,Belize,2025-10-14,True
2,Sheila,Hernandez,nwarren@example.com,001-950-803-0995x449,4983 Campbell Street,South Rachel,GU,38555,Indonesia,2023-08-07,True
3,David,White,asheppard@example.net,811-582-4369x67049,0597 Becky Avenue,Victoriastad,OR,72632,Malawi,2024-07-03,True
4,Tonya,Campbell,patriciasmith@example.com,428-487-1678x54494,34497 Wilson Flat Apt. 218,New Kayla,VA,64256,United States Virgin Islands,2024-02-27,True
5,Jonathan,Thomas,nicholas31@example.org,+1-665-302-4438x0358,401 Humphrey Mall Suite 537,North Jamie,MD,99125,Bosnia and Herzegovina,2025-11-06,True
6,William,Vargas,lloydnicole@example.com,(232)772-1300x672,7562 Barber Burgs,Jacksonchester,TX,49597,Angola,2025-10-10,True
7,Jennifer,Smith,bennettmonica@example.org,282-581-5703,159 Cannon Green Apt. 940,Fuenteston,NJ,29045,Liberia,2024-10-14,True
8,Shawn,Rhodes,zhangjerry@example.net,4644001489,79274 Tanya Falls Suite 615,Lake Karen,OH,95790,Hungary,2025-10-11,True
9,Eric,III,ecunningham@example.com,228.727.6767,729 Brown Knoll Apt. 747,Brianfort,CA,84780,Heard Island and McDonald Islands,2025-11-01,True
10,Jamie,Estrada,wilkinsonzachary@example.net,(994)530-7552,00047 Miller Mews Suite 016,South Alexismouth,NH,56059,American Samoa,2023-03-19,True
11,Holly,Williams,johnbishop@example.org,+1-872-800-4440,8031 Scott Summit Apt. 127,Robinsonhaven,MH,22919,Thailand,2024-08-01,True
12,Jasmin,Hernandez,jamesblackwell@example.com,283.401.5062x9104,783 Jeffrey Mountain,North Sabrinabury,AL,44429,Samoa,2024-06-10,True
13,Tracy,Nelson,lfloyd@example.com,9318887994,45325 Alexander Land,Morrisfort,KS,71663,Montserrat,2023-03-09,True
14,Alexander,Faulkner,lynn65@example.com,+1-875-349-1481x0954,239 Morris Center,Lake Veronicahaven,IL,40819,Togo,2025-03-21,True
15,Ryan,Hanson,yvonne94@example.com,369.871.4929x79061,035 Roberts Bypass,Lambborough,MP,03696,Saint Kitts and Nevis,2025-08-10,True
16,Seth,Edwards,todd57@example.net,501-263-6991x02823,6855 Perez Island Apt. 245,Livingstonfurt,CA,88518,Belize,2024-07-22,True
17,Jason,Gilmore,marcus25@example.org,+1-578-703-5377x0546,7698 Wilson Bypass Apt. 196,Rebeccaton,MN,78328,French Guiana,2025-06-03,True
18,Donald,Reynolds,xsloan@example.org,001-672-212-2252x5186,999 Jennifer Wells,West Stephanieview,AZ,33970,Timor-Leste,2024-03-26,True
19,Jennifer,Gonzalez,wgross@example.org,675.625.8840x4121,0166 Sanchez Inlet Suite 068,Lake Debrafort,OK,91654,Kuwait,2023-03-29,True
20,Brian,Thompson,imartinez@example.com,820-479-6300x94825,8312 Lane Ports Suite 246,East Antonio,SD,70080,Heard Island and McDonald Islands,2023-06-14,True
21,Rachel,Perry,smithmichael@example.net,(704)812-0923x841,178 Danny Summit,East Sara,MT,12589,Reunion,2024-03-26,True
22,Ruben,Hawkins,thomasroberts@example.com,+1-684-834-9815,7498 Robin Station Suite 022,Sarahton,VT,11807,Uzbekistan,2024-09-12,True
23,Jason,Patterson,graylori@example.net,001-321-746-9136x3572,1360 Shelia Gateway,Jacobtown,OH,42183,North Macedonia,2024-07-13,True
24,Ruth,Hart,danielsmith@example.com,907-520-6339x87621,974 Austin Squares Apt. 019,Joseborough,PW,86194,Nauru,2023-04-18,True
25,Amanda,Humphrey,steven76@example.net,(690)424-2802,926 Coleman Estates,East Kelly,VT,10303,Canada,2025-08-13,True
26,Tammy,Lyons,sandratownsend@example.org,(936)882-6359x5182,298 Kelly Branch,West Victoria,MI,07063,Madagascar,2023-08-03,True
27,Ethan,Brown,danagraves@example.org,962-417-4468,642 Penny Ridge Apt. 551,Nancyland,IA,34118,Sao Tome and Principe,2023-12-06,False
28,Donna,Davis,rebeccamorales@example.net,3783246248,283 Herman Points Suite 986,Port Christine,SC,43571,Antarctica (the territory South of 60 deg S),2024-06-17,True
29,Mark,Owens,jasongraham@example.net,863-208-9341x47762,424 Barry Alley Apt. 572,West Debbie,AR,44685,Puerto Rico,2023-10-16,False
30,David,Burgess,ksanders@example.com,417.287.2924,1924 Moreno Orchard Suite 810,North Cynthiastad,GU,18093,Jordan,2024-04-27,True
31,Stephanie,Morton,garrettlisa@example.net,(657)699-3518,65193 Kaitlyn Viaduct Apt. 994,South Robertshire,MH,84074,Liberia,2024-01-14,True
32,Amber,Dickson,brandon00@example.net,(295)578-1173x8174,94042 Jackson Shore,North Patricia,WV,97957,Belize,2023-05-19,True
33,Leah,Hawkins,eric64@example.net,(259)685-1481x77300,2279 Teresa Freeway Suite 230,Cochranchester,OK,20611,Trinidad and Tobago,2024-02-28,True
34,Dustin,Bass,bking@example.com,566.989.7603x102,2054 Crawford Extensions Suite 654,Stephenside,UT,13840,Cuba,2024-04-14,False
35,Martha,Gould,elizabethjackson@example.org,001-750-603-2642x5492,1432 Erickson Springs,Ochoaton,PA,89819,French Guiana,2023-04-28,True
36,David,Thomas,scunningham@example.org,+1-758-680-4337,79364 Robin Coves Apt. 316,Tiffanyton,LA,84574,United Arab Emirates,2023-03-29,False
37,Kimberly,Mejia,ariastasha@example.org,338-579-3955x568,87242 Kennedy Ferry,East Ronald,WA,32398,Bosnia and Herzegovina,2024-04-02,False
38,Marie,Brown,athompson@example.net,357-353-8894x8031,7865 Padilla Rest,West Caitlin,MS,76298,Kuwait,2024-10-11,True
39,Christian,Smith,rodriguezscott@example.org,+1-837-740-4190x94480,479 King Row Apt. 020,East Chad,WV,67546,Timor-Leste,2025-06-07,False
40,Megan,Alexander,david34@example.org,001-370-933-3752x374,7541 Lopez Drive,Reginastad,TX,38109,Sierra Leone,2025-08-12,False
41,Jason,Moses,hicksjose@example.com,3293417352,824 Trevor Walks Suite 317,East Christianville,NJ,79101,Belgium,2024-08-19,True
42,Joseph,Fowler,kaylaburke@example.net,001-390-897-7976x89717,7580 Shelton Plaza,Raymondborough,KY,45024,Vietnam,2023-12-28,True
43,Lisa,Smith,fosterjessica@example.org,7743604033,94369 Carter Square,Port Elizabethmouth,NJ,03450,Montenegro,2023-10-25,True
44,Edward,Montgomery,bartonmelissa@example.org,997-274-2891,830 Melissa Road Apt. 509,Millerton,SC,55760,Guadeloupe,2025-06-30,True
45,Scott,Myers,cbennett@example.com,(863)816-0191x6411,44300 Michele Groves,Jonesmouth,NE,71591,Taiwan,2024-07-17,True
46,Charles,Davis,elizabethgarcia@example.com,930-386-2926,041 Holmes Common Apt. 588,South Ruth,MT,90101,Anguilla,2025-08-26,True
47,Gabriel,Ramirez,swilliams@example.net,916.659.5655,1830 William Well Apt. 870,Nicholasview,MP,90998,Saudi Arabia,2024-05-28,False
48,Daniel,Casey,kevinalvarez@example.com,599-852-9078,71648 Mark Branch Apt. 844,Mayermouth,FL,61653,French Southern Territories,2023-06-04,True
49,Virginia,Obrien,alexander61@example.com,(790)357-7655,79138 Albert Track,Blackton,IL,58064,Libyan Arab Jamahiriya,2024-10-17,True
50,Kathryn,Brewer,perezlinda@example.com,7014282577,34055 Haley Court Apt. 465,Delacruzmouth,VI,59381,Micronesia,2022-12-15,True
51,Wanda,Ryan,mgonzalez@example.net,312.992.0617x671,535 Gregory Shoal,Alicialand,VI,21064,United Kingdom,2025-02-15,True
52,Elaine,Oconnor,lauren07@example.net,809-236-1006,614 Ochoa Heights Suite 095,Feliciashire,AZ,92394,Gibraltar,2025-07-15,True
